Number,Author Full Names,Article Title,Source Title,Abstract,Publication Date,Publication Year,Volume,Issue,Early Access Date,UT (Unique WOS ID),Pubmed Id,Survey,N,Relevant,Rel_2
899,"Lasky, Tamar; McMahon, Ann W.; Hua, Wei; Forshee, Richard",Methodologic approaches in studies using real-world data (RWD) to measure pediatric safety and effectiveness of vaccines administered to pregnant women: A scoping review,VACCINE,"Objective: This scoping review mapped studies using real-world data (RWD) to measure pediatric safety and effectiveness of vaccines administered to pregnant women. Introduction: In the US, two vaccines are recommended for all pregnant women to prevent illness in the infant: inactivated influenza vaccine (recommended since 2004), and the combined tetanus-diphtheriaacellular pertussis (Tdap) vaccine (recommended since 2013). This scoping review maps the studies conducted to date that address questions about pediatric safety and effectiveness of vaccines administered during pregnancy and provides a knowledge base for evaluating the use of RWD to study this issue. Methods: The scoping review was conducted following a published protocol. Methods included an electronic search of PubMed and Embase, screening of titles and abstracts by two reviewers, and double extraction of data for summary and synthesis. Studies that reported on pregnant women and the effectiveness or safety outcomes in their infants were included. Results: Forty-eight studies met the inclusion criteria of the scoping review protocol using RWD to assess safety or effectiveness of influenza or pertussis vaccinations administered to pregnant women with respect to pregnancy, infant or child outcomes. Detailed information about data sources, linkage of maternal and infant data, and operational definitions for gestational age were largely absent from the majority of studies raising concerns about reproducibility and validity of study findings. Conclusions: A body of literature is available from which to plan and design future studies of vaccination in pregnant women using RWD. This is of intense importance as new vaccines, such as those for COVID19, become available to the general population via approval or authorization without inclusion of pregnant women in the clinical trials. Published by Elsevier Ltd.",JUN 29,2021,39,29,,WOS:000663773600007,34090699,,,,
900,"Ishimaru, Tomohiro; Okawara, Makoto; Ando, Hajime; Hino, Ayako; Nagata, Tomohisa; Tateishi, Seiichiro; Tsuji, Mayumi; Matsuda, Shinya; Fujino, Yoshihisa",Gender differences in the determinants of willingness to get the COVID-19 vaccine among the working-age population in Japan,HUMAN VACCINES & IMMUNOTHERAPEUTICS,"Many factors are related to vaccination intentions. However, gender differences in the determinants of intention to get the coronavirus disease 2019 (COVID-19) vaccine have not been fully investigated. This study examined gender differences in the determinants of willingness to get the COVID-19 vaccine among the working-age population in Japan. We conducted a cross-sectional study of Japanese citizens aged 20-65 years using an online self-administered questionnaire in December 2020. Logistic regression analysis was performed. Among 27,036 participants (13,814 men and 13,222 women), the percentage who were willing to get the COVID-19 vaccine was lower among women than among men (33.0% vs. 41.8%). Age and education level showed a gender gap regarding the association with willingness to get the COVID-19 vaccine: men who were older or had a higher level of education were more willing to get the vaccine, whereas women aged 30-49 years and those with a higher level of education showed a relatively low willingness to get the vaccine. For both men and women, marriage, higher annual household income, underlying disease, current smoking, vaccination for influenza during the current season, and fear of COVID-19 transmission were linked to a higher likelihood of being willing to get the COVID-19 vaccine. These findings give important insight into identifying target groups in need of intervention regarding COVID-19 vaccination, especially among women. Providing education about COVID-19 and influenza vaccination in the workplace may be an effective strategy to increase COVID-19 vaccine uptake.",,,,,JUN 2021,WOS:000669124900001,34213406,,,,
901,"Brown, Devin L.; Cowdery, Joan E.",College students' knowledge and attitudes toward clinical trials and their relationship with willingness to participate in COVID-19 trials or vaccines,JOURNAL OF AMERICAN COLLEGE HEALTH,"Objective We examined clinical trial knowledge and attitudes, and their relationship with willingness to participate in COVID-19 vaccine trials, and willingness to accept a COVID-19 vaccine among college students. Participants 331 undergraduates: mean age 25; 72% women; and 78% white. Methods We administered an online, anonymous survey to undergraduate students in July, 2020, during the COVID-19 pandemic. Results The mean clinical trial knowledge score was 65% (SD = 16) correct. The mean attitudes toward clinical trials score (1 most negative: 5 most positive) was 3.3 (SD = 0.5). Attitudes toward clinical trials were associated with likelihood of COVID-19 trial participation (positive 76% vs. negative 35%, p = 0.001) and a trend toward likelihood of accepting a COVID-19 vaccine if available (positive 89% vs. negative 67%, p = 0.066). Conclusions General clinical trial knowledge and attitudes appear to be important targets for educational interventions. Furthermore, fostering positive attitudes may lead to improved COVID-19 trial participation and vaccine uptake.",,,,,JUN 2021,WOS:000677999900001,34398692,,,,
902,"Munting, Aline; Manuel, Oriol",Viral infections in lung transplantation,JOURNAL OF THORACIC DISEASE,"Viral infections account for up to 30% of all infectious complications in lung transplant recipients, remaining a significant cause of morbidity and even mortality. Impact of viral infections is not only due to the direct effects of viral replication, but also to immunologically-mediated lung injury that may lead to acute rejection and chronic lung allograft dysfunction. This has particularly been seen in infections caused by herpesviruses and respiratory viruses. The implementation of universal preventive measures against cytomegalovirus (CMV) and influenza (by means of antiviral prophylaxis and vaccination, respectively) and administration of early antiviral treatment have reduced the burden of these diseases and potentially their role in affecting allograft outcomes. New antivirals against CMV for prophylaxis and for treatment of antiviral-resistant CMV infection are currently being evaluated in transplant recipients, and may continue to improve the management of CMV in lung transplant recipients. However, new therapeutic and preventive strategies are highly needed for other viruses such as respiratory syncytial virus or parainfluenza virus, including new antivirals and vaccines. This is particularly important in the advent of the COVID-19 pandemic, for which several unanswered questions remain, in particular on the best antiviral and immunomodulatory regimen for decreasing mortality specifically in lung transplant recipients. In conclusion, the appropriate management of viral complications after transplantation remain an essential step to continue improving survival and quality of life of lung transplant recipients.",,,,,JUN 2021,WOS:000682384000001,,,,,
903,"Finkenstadt, Daniel J.; Handfield, Robert B.",Tuning value chains for better signals in the post-COVID era: vaccine supply chain concerns,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,"PurposeThe authors identify the critical bottlenecks that exist in the vaccine supply chain that are preventing a robust coronavirus disease (COVID) response. The authors posit that improved supply chain signals can result in improved handling and distribution of vaccines in a post-COVID world and identify recommendations for redesign of the vaccine supply chain as well as future research questions for scholars.Design/methodology/approachThe supply chain operating reference (SCOR) model is used as a framework to identify each of the major gaps that exist in the supply chain for the COVID vaccine. The critical bottlenecks and delays that exist within this supply chain are identified through this framework and validated through the ongoing research and interviews in the field.FindingsWhilst the vaccine supply chain for influenza is perfectly sized for development and distribution of this cyclical virus, the emergence of a new virus created a pandemic, which has exposed a number of critical shortages. The authors find that the design of the COVID vaccine supply chain suffers from a flawed structure. To date, less than 3% of the United States and global population has been fully vaccinated. The authors advocate a back to front design, beginning with demand planning for actual vaccinations and working backwards toward supply planning and distribution planning. These lessons may be helpful for capacity planning and supply chain strategy for future vaccinations as variants of the COVID vaccine emerge.Originality/valueThe authors provide a unique approach for viewing the current shortages that exist in the vaccine supply chain and offer suggestions for new variants of this supply chain for the future.",,,,,JUN 2021,WOS:000674641000001,,,,,
904,"Laurencin, Cato T.; Valantine, Hannah; Yancy, Clyde; Jones, Camara Phyllis; Bright, Cedric",The COVID-19 Vaccine and the Black Community: Addressing the Justified Questions,JOURNAL OF RACIAL AND ETHNIC HEALTH DISPARITIES,"Established in 2019, the Roundtable on Black Men and Black Women in STEM convenes a broad array of stakeholders that focus on the barriers and opportunities encountered by Black men and Black women as they navigate the pathways from K-12 and postsecondary education to careers in science, engineering, and medicine. Through meetings, public workshops, and publications, the Roundtable advances discussions that raise awareness and/or highlight promising practices for increasing the representation, retention, and inclusiveness of Black men and Black women in STEM. In keeping with the charge of the Roundtable, Roundtable leadership and leaders of the COVID-19 action group conducted an informational video in January 2021 to provide an in-depth discussion around common, justified questions in the Black community pertaining to the COVID-19 vaccine. The manuscript addresses selected questions and answers relating to the different types of COVID-19 vaccines and their development, administration, and effectiveness. Discussion focuses on addressing vaccine misconceptions, misinformation, mistrust, and hesitancy; challenges in prioritizing vaccinations in diverse populations and communities; dealing with racism in medicine and public health; optimizing communication and health education; and offering practical strategies and recommendations for improving vaccine acceptance by clinicians, health care workers, and the Black community. This manuscript summarizes the content in the YouTube video (https://www.youtube.com/watch?v=wdEC9c48A_k).",AUG,2021,8,4,JUN 2021,WOS:000663231300001,34143380,,,,
905,"Debus, Marc; Tosun, Jale",Political ideology and vaccination willingness: implications for policy design,POLICY SCIENCES,"The COVID-19 pandemic has forced governments to impose major restrictions on individual freedom in order to stop the spread of the virus. With the successful development of a vaccine, these restrictions are likely to become obsolete-on the condition that people get vaccinated. However, parts of the population have reservations against vaccination. While this is not a recent phenomenon, it might prove a critical one in the context of current attempts to manage the COVID-19 pandemic. Consequently, the task of designing policies suitable for attaining high levels of vaccination deserves enhanced attention. In this study, we use data from the Eurobarometer survey fielded in March 2019. They show that 39% of Europeans consider vaccines to cause the diseases which they should protect against, that 50% believe vaccines have serious side effects, that 32% think that vaccines weaken the immune system, and that 10% do not believe vaccines are tested rigorously before authorization. We find that-even when controlling for important individual-level factors-ideological extremism on both ends of the spectrum explains skepticism of vaccination. We conclude that policymakers must either politicize the issue or form broad alliances among parties and societal groups in order to increase trust in and public support for the vaccines in general and for vaccines against COVID-19 in particular, since the latter were developed in a very short time period and resulted-in particular in case of the AstraZeneca vaccine-in reservations because of the effectiveness and side effects of the new vaccines.",SEP,2021,54,3,JUN 2021,WOS:000662165200002,34149102,,,,
906,"Mazzoni, Alessio; Di Lauria, Nicoletta; Maggi, Laura; Salvati, Lorenzo; Vanni, Anna; Capone, Manuela; Lamacchia, Giulia; Mantengoli, Elisabetta; Spinicci, Michele; Zammarchi, Lorenzo; Kiros, Seble Tekle; Rocca, Arianna; Lagi, Filippo; Colao, Maria Grazia; Parronchi, Paola; Scaletti, Cristina; Turco, Lucia; Liotta, Francesco; Rossolini, Gian Maria; Cosmi, Lorenzo; Bartoloni, Alessandro; Annunziato, Francesco",First-dose mRNA vaccination is sufficient to reactivate immunological memory to SARS-CoV-2 in subjects who have recovered from COVID-19,JOURNAL OF CLINICAL INVESTIGATION,"The characterization of the adaptive immune response to COVID-19 vaccination in individuals who recovered from SARSCoV-2 infection may define current and future clinical practice. To determine the effect of the 2-dose BNT162b2 mRNA COVID-19 vaccination schedule in individuals who recovered from COVID-19 (COVID-19-recovered subjects) compared with naive subjects, we evaluated SARS-CoV-2 Spike-specific T and B cell responses, as well as specific IgA, IgG, IgM, and neutralizing antibodies titers in 22 individuals who received the BNT162b2 mRNA COVID-19 vaccine, 11 of whom had a previous history of SARS-CoV-2 infection. Evaluations were performed before vaccination and then weekly until 7 days after second injection. Data obtained clearly showed that one vaccine dose is sufficient to increase both cellular and humoral immune response in COVID-19-recovered subjects without any additional improvement after the second dose. On the contrary, the second dose proved mandatory in naive subjects to further enhance the immune response. These findings were further confirmed at the serological level in a larger cohort of naive (n = 68) and COVID-19-recovered (n = 29) subjects, tested up to 50 days after vaccination. These results question whether a second vaccine injection in COVID-19-recovered subjects is required, and indicate that millions of vaccine doses may be redirected to naive individuals, thus shortening the time to reach herd immunity.",JUN 15,2021,131,12,,WOS:000661978100004,33939647,,,,
907,"Alwi, S. A. R. Syed; Rafidah, E.; Zurraini, A.; Juslina, O.; Brohi, I. B.; Lukas, S.",A survey on COVID-19 vaccine acceptance and concern among Malaysians,BMC PUBLIC HEALTH,"Background Vaccination is an effective way to curtail the burden of COVID-19 in which success depends on a high acceptance of the vaccine. However, addressing concerns among vaccine-hesitant individuals is essential to avoid failure of the immunisation programme. This study sought to assess the concerns and acceptance rates regarding the COVID-19 vaccine among Malaysians. Methods An online questionnaire was distributed to 1411 respondents via a snowball sampling method among Malaysians aged 18 years and above. Results The majority of the respondents were young adults (40.7%), female (62.8%), Malay (63.8%), Muslim (72.3%), married (52.9%), with tertiary education (86.8%) and without medical illness (85%). Social media (97.4%) was the primary source of information regarding COVID-19. The overall acceptance rate was high (83.3%), with the lowest rates among the elderly aged 60 years and above (63.4%) and pensioners (64.6%). Hesitance was caused by concerns regarding side effects (95.8%), safety (84.7%), lack of information (80.9%), effectiveness (63.6%) and religious (20.8%) and cultural factors related to the COVID-19 vaccine (6.8%). Respondents with diabetes mellitus (24.7%) and hypercholesterolemia (23%) were more hesitant to accept the COVID-19 vaccine, at 16.1 and 15.8%, respectively. Predictors of COVID-19 vaccine hesitance were age, religion, and current residence. Conclusions The results indicate a high rate of acceptance of the COVID-19 vaccine among Malaysians. Thus, the Malaysian government and other related agencies should increase their campaign and prepare to implement the COVID-19 mass immunisation programme among Malaysians. However, despite the high acceptance rate, it remains important to address concerns among hesitant individuals by building trust in vaccine safety and effectiveness through adequate information regarding the vaccine.",JUN 12,2021,21,1,,WOS:000663030300011,34118897,,,,
908,"Szilagyi, Peter G.; Thomas, Kyla; Shah, Megha D.; Vizueta, Nathalie; Cui, Yan; Vangala, Sitaram; Kapteyn, Arie",Likelihood of COVID-19 vaccination by subgroups across the US: post-election trends and disparities,HUMAN VACCINES & IMMUNOTHERAPEUTICS,"The coronavirus disease 2019 (COVID-19) pandemic has disproportionately impacted older individuals, those with lower educational attainment, and Black and Hispanic populations, yet vaccine hesitancy remains prevalent. Because widespread uptake of COVID-19 vaccines is critical to end the pandemic, addressing vaccine hesitancy is an important public health priority. Between April 1, 2020 and March 16, 2021, we have repeatedly surveyed a nationally representative online panel of adults and have tracked their stated likelihood of getting COVID-19 vaccinations. We present new evidence that in recent months disparities in self-reported likelihood of COVID-19 vaccination have narrowed by race/ethnicity, with an increasing proportion of Black individuals and Hispanic individuals indicating that they are likely to get a vaccine. At the same time, younger adults have progressively become less likely than older adults to state they will get a COVID-19 vaccine. Most vaccine-hesitant individuals are concerned about both vaccine efficacy and safety and do not trust the vaccine development or vaccine approval process. We conclude that outreach efforts to minority populations may be achieving their objectives in raising confidence in COVID-19 vaccines, but special outreach efforts are needed to address both vaccine hesitancy among younger adults and mistrust in the vaccine development and approval process.",OCT 3,2021,17,10,JUN 2021,WOS:000666916700001,34170793,,,,
909,"Jackson-Thompson, Belinda M.; Goguet, Emilie; Laing, Eric D.; Olsen, Cara H.; Pollett, Simon; Hollis-Perry, K. Monique; Maiolatesi, Santina E.; Illinik, Luca; Ramsey, Kathleen F.; Reyes, Anatalio E.; Alcorta, Yolanda; Wong, Mimi A.; Davies, Julian; Ortega, Orlando; Parmelee, Edward; Lindrose, Alyssa R.; Moser, Matthew; Graydon, Elizabeth; Letizia, Andrew G.; Duplessis, Christopher A.; Ganesan, Anuradha; Pratt, Kathleen P.; Malloy, Allison M.; Scott, David W.; Anderson, Stephen K.; Snow, Andrew L.; Dalgard, Clifton L.; Powers, John H., III; Tribble, David; Burgess, Timothy H.; Broder, Christopher C.; Mitre, Edward",Prospective Assessment of SARS-CoV-2 Seroconversion (PASS) study: an observational cohort study of SARS-CoV-2 infection and vaccination in healthcare workers,BMC INFECTIOUS DISEASES,"BackgroundSARS-CoV-2 is a recently emerged pandemic coronavirus (CoV) capable of causing severe respiratory illness. However, a significant number of infected people present as asymptomatic or pauci-symptomatic. In this prospective assessment of at-risk healthcare workers (HCWs) we seek to determine whether pre-existing antibody or T cell responses to previous seasonal human coronavirus (HCoV) infections affect immunological or clinical responses to SARS-CoV-2 infection or vaccination.MethodsA cohort of 300 healthcare workers, confirmed negative for SARS-CoV-2 exposure upon study entry, will be followed for up to 1 year with monthly serology analysis of IgM and IgG antibodies against the spike proteins of SARS-CoV-2 and the four major seasonal human coronavirus - HCoV-OC43, HCoV-HKU1, HCoV-229E, and HCoV-NL63. Participants will complete monthly questionnaires that ask about Coronavirus Disease 2019 (COVID-19) exposure risks, and a standardized, validated symptom questionnaire (scoring viral respiratory disease symptoms, intensity and severity) at least twice monthly and any day when any symptoms manifest. SARS-CoV-2 PCR testing will be performed any time participants develop symptoms consistent with COVID-19. For those individuals that seroconvert and/or test positive by SARS-CoV-2 PCR, or receive the SARS-CoV-2 vaccine, additional studies of T cell activation and cytokine production in response to SARS-CoV-2 peptide pools and analysis of Natural Killer cell numbers and function will be conducted on that participant's cryopreserved baseline peripheral blood mononuclear cells (PBMCs). Following the first year of this study we will further analyze those participants having tested positive for COVID-19, and/or having received an authorized/licensed SARS-CoV-2 vaccine, quarterly (year 2) and semi-annually (years 3 and 4) to investigate immune response longevity.DiscussionThis study will determine the frequency of asymptomatic and pauci-symptomatic SARS-CoV-2 infection in a cohort of at-risk healthcare workers. Baseline and longitudinal assays will determine the frequency and magnitude of anti-spike glycoprotein antibodies to the seasonal HCoV-OC43, HCoV-HKU1, HCoV-229E, and HCoV-NL63, and may inform whether pre-existing antibodies to these human coronaviruses are associated with altered COVID-19 disease course. Finally, this study will evaluate whether pre-existing immune responses to seasonal HCoVs affect the magnitude and duration of antibody and T cell responses to SARS-CoV-2 vaccination, adjusting for demographic covariates.",JUN 9,2021,21,1,,WOS:000662878100003,34107889,,,,
910,"Pritchard, Emma; Matthews, Philippa C.; Stoesser, Nicole; Eyre, David W.; Gethings, Owen; Vihta, Karina-Doris; Jones, Joel; House, Thomas; VanSteenHouse, Harper; Bell, Iain; Bell, John I.; Newton, John N.; Farrar, Jeremy; Diamond, Ian; Rourke, Emma; Studley, Ruth; Crook, Derrick; Peto, Tim E. A.; Walker, A. Sarah; Pouwels, Koen B.",Impact of vaccination on new SARS-CoV-2 infections in the United Kingdom,NATURE MEDICINE,"The effectiveness of COVID-19 vaccination in preventing new severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections in the general community is still unclear. Here, we used the Office for National Statistics COVID-19 Infection Survey-a large community-based survey of individuals living in randomly selected private households across the United Kingdom-to assess the effectiveness of the BNT162b2 (Pfizer-BioNTech) and ChAdOx1 nCoV-19 (Oxford-AstraZeneca; ChAdOx1) vaccines against any new SARS-CoV-2 PCR-positive tests, split according to self-reported symptoms, cycle threshold value (<30 versus >= 30; as a surrogate for viral load) and gene positivity pattern (compatible with B.1.1.7 or not). Using 1,945,071 real-time PCR results from nose and throat swabs taken from 383,812 participants between 1 December 2020 and 8 May 2021, we found that vaccination with the ChAdOx1 or BNT162b2 vaccines already reduced SARS-CoV-2 infections >= 21 d after the first dose (61% (95% confidence interval (CI) = 54-68%) versus 66% (95% CI = 60-71%), respectively), with greater reductions observed after a second dose (79% (95% CI = 65-88%) versus 80% (95% CI = 73-85%), respectively). The largest reductions were observed for symptomatic infections and/or infections with a higher viral burden. Overall, COVID-19 vaccination reduced the number of new SARS-CoV-2 infections, with the largest benefit received after two vaccinations and against symptomatic and high viral burden infections, and with no evidence of a difference between the BNT162b2 and ChAdOx1 vaccines. Results from the Office of National Statistics COVID-19 Infection Survey in the United Kingdom demonstrate that the ChAdOx1 nCoV-19 and BNT162b2 vaccines reduce the incidence of new SARS-CoV-2 infections by up to 65% with a single dose and up to 80% after two doses, with no significant differences in efficacy observed between the two vaccines.",AUG,2021,27,8,JUN 2021,WOS:000659384400003,34108716,,,,
911,"Khehra, Nimrat; Padda, Inderbir; Jaferi, Urooj; Atwal, Harshan; Narain, Shreya; Parmar, Mayur S.",Tozinameran (BNT162b2) Vaccine: The Journey from Preclinical Research to Clinical Trials and Authorization,AAPS PHARMSCITECH,"Vaccination development and production was an essential question for the prevention and global control of COVID-19. The strong support from governing authorities such as Operation Warp Speed and robust funding has led to the development and authorization of the tozinameran (BNT162b2) vaccine. The BNT162b2 vaccine is a lipid nanoparticle-encapsulated mRNA that encodes for SARS-CoV-2 spike protein, the main site for neutralizing antibodies. Once it binds with the host cells, the lipid nanoparticles enable the transfer of the RNA, causing S antigens' expression of the SARS-CoV-2, conferring immunity. The vaccine is administered as a 2-dose regime 21 days apart for individuals 16 years and older. Pfizer-BioNTech's BNT162b2 vaccine was the first candidate to receive FDA-Emergency Use Authorization (EUA) on December 11, 2020. During phase 2/3 clinical trials, 95% efficacy was reported among 37,706 participants over the age of 16 who received the BNT162b2 vaccination; additionally, 52% efficacy was noted 12 days following the administration of the first dose of BNT162b2, reflecting early protection of COVID-19. The BNT162b2 vaccine has exhibited 100% efficacy in clinical trials of adolescents between the ages of 12 and 15. Clinical trials in pregnant women and children under the age of 12 are expected to also exhibit promising results. This review article encompasses tozinameran (BNT162b2) vaccine journey, summarizing the BNT162b1 and BNT162b2 vaccines from preclinical studies, clinical trial phases, dosages, immune response, adverse effects, and FDA-EUA.",JUN 7,2021,22,5,,WOS:000662755800002,34100150,,,,
912,"Melki, Jad; Tamim, Hani; Hadid, Dima; Makki, Maha; El Amine, Jana; Hitti, Eveline",Mitigating infodemics: The relationship between news exposure and trust and belief in COVID-19 fake news and social media spreading,PLOS ONE,"Introduction Misinformation surrounding COVID-19 poses a global public health problem that adversely affects governments' abilities to mitigate the disease and causes accidental deaths and self-harm due to false beliefs about the virus, prevention measures, vaccines and cures. We aim to examine the relationship between exposure to and trust in COVID-19 news (from Television, social media, interpersonal communication) and information sources (healthcare experts, government, clerics) and belief in COVID-19 myths and false information, as well as critical verification practices before posting on social media. Methods We use a cross-sectional researcher-administered phone survey of adults living in Lebanon between March 27 and April 23, 2020. Results The sample included 56.1% men and 43.9% women, 37.9% with a university degree, 63.0% older than 30, and 7% with media literacy training. Those who trust COVID-19 news from social media [95%CI:(1.05-1.52)] and interpersonal communication [95%CI:(1.25-1.82)], and those who trust information from clerics [95%CI:(1.25-1.82)] were more likely to believe in COVID-19 myths and false information. University graduates [95%CI:(0.25-0.51)] and those who trust information from government [95%CI:(0.65-0.89] were less likely to believe in myths and false information. Those who believe in COVID-19 myths and false information [95%CI:(0.25-0.70)] were less likely to engage in critical social media posting practices. Only those who underwent media literacy training [95%CI:(1.24-6.55)] were more likely to engage in critical social media posting practices. Conclusion Higher education and trust in information from government contributed to decreasing belief in COVID-19 myths and false information. Trust in news from social media, interpersonal communication and clerics contributed to increasing belief in COVID-19 myths and false information, which in turn contributed to less critical social media posting practices, thereby exacerbated the infodemic. Media literacy training contributed to increasing critical social media posting practices, thereby played a role in mitigating the infodemic.",JUN 4,2021,16,6,,WOS:000664640100144,34086813,,,,
913,"Fukutani, Kiyoshi F.; Barreto, Mauricio L.; Andrade, Bruno B.; Queiroz, Artur T. L.","Correlation Between SARS-Cov-2 Vaccination, COVID-19 Incidence and Mortality: Tracking the Effect of Vaccination on Population Protection in Real Time",FRONTIERS IN GENETICS,"Coronavirus disease 19 (COVID-19) has struck the world since the ending of 2019. Tools for pandemic control were scarce, limited only to social distance and face mask usage. Today, upto 12 vaccines were approved and the rapid development raises questions about the vaccine efficiency. We accessed the public database provided by each country and the number of death, active cases, and tests in order to evaluate how the vaccine is influencing the COVID-19 pandemic. We observed distinct profiles across the countries and it was related to the vaccination start date and we are proposing a new way to manage the vaccination.",JUN 2,2021,12,,,WOS:000661828400001,34149815,,,,
914,"Adeniyi, Oladele Vincent; Stead, David; Singata-Madliki, Mandisa; Batting, Joanne; Wright, Matthew; Jelliman, Eloise; Abrahams, Shareef; Parrish, Andrew","Acceptance of COVID-19 Vaccine among the Healthcare Workers in the Eastern Cape, South Africa: A Cross Sectional Study",VACCINES,"Background: This study assesses the perceptions and acceptance of severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) vaccination. It also examines its influencing factors among the healthcare workers (HCWs) in the Eastern Cape, South Africa. Methods: In this cross-sectional study performed in November and December 2020, a total of 1308 HCWs from two large academic hospitals participated in the Eastern Cape Healthcare Workers Acquisition of SARS-CoV-2 (ECHAS) study. Validated measures of vaccine hesitancy were explored using a questionnaire. Logistic regression was used to identify the determinants of vaccine hesitancy. Results: The majority were nurses (45.2%), and at risk for unfavourable Covid-19 outcome, due to obesity (62.9%) and having direct contact with individuals confirmed to have Covid-19 (77.1%). The overall acceptance of SARS-CoV-2 vaccine was 90.1%, which differed significantly by level of education. Individuals with lower educational attainment (primary and secondary education) and those with prior vaccine refusal were less likely to accept the SARS-CoV-2 vaccine. However, positive perceptions about the SARS-CoV-2 vaccine were independently associated with vaccine acceptance. Conclusions: The high level of acceptance of SARS-CoV-2 vaccine is reassuring; however, HCWs with a lower level of education and those with prior vaccine refusal should be targeted for further engagements to address their concerns and fears.",JUN,2021,9,6,,WOS:000666285500001,34207018,,,,
915,"Ahmed, Mohammed A. M.; Colebunders, Robert; Gele, Abdi A.; Farah, Abdiqani A.; Osman, Shariff; Guled, Ibraahim Abdullahi; Abdullahi, Aweis Ahmed Moalim; Hussein, Ahmed Mohamud; Ali, Abdiaziz Mohamed; Siewe Fodjo, Joseph Nelson",COVID-19 Vaccine Acceptability and Adherence to Preventive Measures in Somalia: Results of an Online Survey,VACCINES,"Most countries are currently gravitating towards vaccination as mainstay strategy to quell COVID-19 transmission. Between December 2020 and January 2021, we conducted a follow-up online survey in Somalia to monitor adherence to COVID-19 preventive measures, and COVID-19 vaccine acceptability and reasons for vaccine hesitancy. Adherence was measured via a composite adherence score based on four measures (physical distancing, face mask use, hand hygiene, and mouth covering when coughing/sneezing). We analyzed 4543 responses (mean age: 23.5 +/- 6.4 years, 62.4% males). The mean adherence score during this survey was lower than the score during a similar survey in April 2020. A total of 76.8% of respondents were willing to receive the COVID-19 vaccine. Flu-like symptoms were more frequently reported in the current survey compared to previous surveys. Multiple logistic regression showed that participants who experienced flu-like symptoms, those in the healthcare sector, and those with higher adherence scores had higher odds for vaccine acceptability while being a female reduced the willingness to be vaccinated. In conclusion, our data suggest that the decreasing adherence to COVID-19 preventive measures may have caused increased flu-like symptoms over time. COVID-19 vaccine acceptance in Somalia is relatively high but could be improved by addressing factors that contribute to vaccine hesitancy.",JUN,2021,9,6,,WOS:000667382600001,34064159,,,,
916,"Alhazmi, Abdulaziz; Alamer, Edrous; Daws, Dalia; Hakami, Mashael; Darraj, Majid; Abdelwahab, Siddig; Maghfuri, Amani; Algaissi, Abdullah",Evaluation of Side Effects Associated with COVID-19 Vaccines in Saudi Arabia,VACCINES,"Background: Pfizer-BioNTech and Oxford-AstraZeneca are recently introduced vaccines to combat COVID-19 pandemic. During clinical trials, mild to moderate side effects have been associated with these vaccines. Thus, we aimed to evaluate short-term post-vaccination side effects. Methods: Cross-sectional, retrospective study using an online questionnaire was conducted among COVID-19 vaccines recipients in Saudi Arabia. General and demographic data were collected, and vaccine-associated side effects after receiving at least one dose of each vaccine were evaluated. Results: Our final sample consisted of 515 participants with a median age of 26 years. Most of the study participants were female (57%). Nearly 13% of the study subjects have reported previous infections with SARS-CoV-2. Oxford-AstraZeneca and Pfizer-BioNTech vaccines have been received by 75% and 25% of the study participants, respectively. Side effects associated with COVID-19 vaccines have been reported by 60% of the study subjects, and most of them reported fatigue (90%), pain at the site of the injections (85%). Conclusion: Side effects that are reported post Oxford-AstraZeneca and Pfizer-BioNTech vaccines among our study participants are not different from those that were reported in the clinical trials, indicating safe profiles for both vaccines. Further studies are needed to evaluate the effectiveness of the current vaccines in protection against SARS-CoV-2 reinfections.",JUN,2021,9,6,,WOS:000666960800001,34207394,,,,
